ulasan,clean_ulasan
"kekurangan bus ini suspensi keras kayak truk medium jok kursi keras buat jam mepet gak bisa dibuat acuan mojokerto surabaya hampir 2 jam padahal gak macet,ac kurang dingin minim informasi,kaca terlalu bening tanpa tirai kelebihan kru ramah,sigap,ganteng,cantik""",kurang bus ini suspensi keras kayak truk medium jok kursi keras buat jam mepet gak bisa buat acu mojokerto surabaya hampir jam padahal gak macetac kurang dingin minim informasikaca terlalu bening tanpa tirai lebih kru ramahsigapgantengcantik
"Sidoarjo-Gresik, Sidoarjo-Mojokerto bus trannsjatim ini sangat membantu sekali bagi masyarakat yg ingin berpergian dg tujuan tersebut, aman, murah, & nyaman. Good joob 👍",sidoarjogresik sidoarjomojokerto bus trannsjatim ini sangat bantu sekali bagi masyarakat yg ingin pergi dg tuju sebut aman murah nyaman good joob
Masih kurang power stopkontak.Untuk lainnya sangat bagus dan hemat di kantong.tq,masih kurang power stopkontakuntuk lain sangat bagus dan hemat di kantongtq
Okeh bolo,okeh bolo
"ada halte tp di tempat halte ada tulisan tidak bisa di gunakan dan di aplikasi tidak ada haltenya,,,sedangkan di aplikasi ada haltenya di realnya nggak ada haltenya",ada halte tp di tempat halte ada tulis tidak bisa di guna dan di aplikasi tidak ada haltenyasedangkan di aplikasi ada halte di real nggak ada halte
"Lucu kenapa harus pakai astrapay, apa gak bisa link aja atau produk BUMN yg lain",lucu kenapa harus pakai astrapay apa gak bisa link aja atau produk bumn yg lain
Harus d coba...,harus d coba
Bagus,bagus
"Sangat membantu sekali dengan adanya transportasi bus trans jatim, praktis, ekonomis, pokoknya bus trans jatim the best",sangat bantu sekali dengan ada transportasi bus trans jatim praktis ekonomis pokok bus trans jatim the best
Tambah rutenya dong sda mlng,tambah rute dong sda mlng
Puas banget,puas banget
"Koridor 2 pada saat launching jmlah halte masih minim, daerah yg padat penumpang Perempatan Bakalan dan Terminal Krian malah tdk didahulukan . Mohon segera dibangun halte/shelter tsb. Sementara daerah yg minim penumpang dan minim akses yaitu halte Bypass dan halte jabaran malah sdh ready.",koridor pada saat launching jmlah halte masih minim daerah yg padat tumpang empat bakal dan terminal krian malah tdk dahulu mohon segera bangun halteshelter tsb sementara daerah yg minim tumpang dan minim akses yaitu halte bypass dan halte jabar malah sdh ready
Untuk pembayaran mungkin bisa ditambahkan menggunakan ovo gopay link aja,untuk bayar mungkin bisa tambah guna ovo gopay link aja
Tolong metode pembayarannya lebih difelksibelkan pakai semua e-walet atau QRIS agar lebih enak.,tolong metode bayar lebih difelksibelkan pakai semua ewalet atau qris agar lebih enak
Pelayanan gak bagus,layan gak bagus
Bisa ditambahkan metode pembayaran untuk pembelian tiket nya,bisa tambah metode bayar untuk beli tiket nya
Aplikasi tidak jelas sulit untuk baca posisi bus padahal masih 20.26,aplikasi tidak jelas sulit untuk baca posisi bus padahal masih
Jalur jadi hijau semakin ga kelihatan.,jalur jadi hijau makin ga lihat
"Dear, transJatim bolehkah jam operasional di perpanjang ?? Atau di samakan dengan jam operasional suroboyo bus, biar jika ku pulang shif malam jam 9 masi ada bus, sangat sangat sangat berharap",dear transjatim boleh jam operasional di panjang atau di sama dengan jam operasional suroboyo bus biar jika ku pulang shif malam jam mas ada bus sangat sangat sangat harap
"Apabila ada pembeda antara penumpang yang sudah pesan tiket melalui aplikasi agar bisa segera dapat tempat duduk lebih bagus dan memudahkan dalam penggunaan aplikasi ,",apabila ada beda antara tumpang yang sudah pesan tiket lalu aplikasi agar bisa segera dapat tempat duduk lebih bagus dan mudah dalam guna aplikasi
"Pelayanan udah bagus, aplikasi juga udah bagus. Buat tambahan, pada saat jam berangkat / pulang kerja lebih baik armada yang diturunkan jaraknya tidak terlalu lama dan untuk aplikasi, filter bis berdasarkan tujuan lebih ditingkatkan karena saat saya terapkan filter tujuan gresik di bungurasih, bis yang tujuan sidoarjo tetap muncul",layan udah bagus aplikasi juga udah bagus buat tambah pada saat jam berangkat pulang kerja lebih baik armada yang turun jarak tidak terlalu lama dan untuk aplikasi filter bis dasar tuju lebih tingkat karena saat saya terap filter tuju gresik di bungurasih bis yang tuju sidoarjo tetap muncul
Tak kasih bintang 5 soalx sangat bagus,tak kasih bintang soalx sangat bagus
"Aplikasinya bagus, sangat membantu. Pertama kali naik dari Bungurasih, cepat, pelayanan ramah.",aplikasi bagus sangat bantu pertama kali naik dari bungurasih cepat layan ramah
Sangat membantu,sangat bantu
Mantap,mantap
"Aplikasinya sudah bagus dan pelayanannya sudah sangat ramah, mungkin untuk rutenya bisa di perbesar jangkauannya bisa ke Bangil, Pasuruan dsb.",aplikasi sudah bagus dan layan sudah sangat ramah mungkin untuk rute bisa di besar jangkau bisa ke bangil pasuruan dsb
"Jadwal Keberangkatan Bus Perlu Dikoreksi, Terkadang Terlalu Jauh, Terkadang Penumpukan Bus, Untuk Driver Kalau Bisa Hindari Bahu Jalan dan Ugal-Ugalan Di Tol, Untuk Crew Terkadang Terlalu Toleran Terhadap Penumpang Tentang Peraturan di Bus",jadwal berangkat bus perlu koreksi terkadang terlalu jauh terkadang tumpu bus untuk driver kalau bisa hindar bahu jalan dan ugalugalan di tol untuk crew terkadang terlalu toleran hadap tumpang tentang atur di bus
"Bagus sdh jarak bus satu dgn yg lain, jd ngk lama lama nunggu dihalte dan pulang lebih awal dari biasanya, semoga transjatim tetap jaya, gimana dgn kartu pelanggan nya / kharisma koq belum jadi pdhal data sdh msk",bagus sdh jarak bus satu dgn yg lain jadi ngk lama lama nunggu halte dan pulang lebih awal dari biasa moga transjatim tetap jaya gimana dgn kartu langgan nya kharisma koq belum jadi pdhal data sdh msk
"Kalo aplikasi lumayan bagus sih. Cuma yang bikin resah itu pengisian BBM cuma di 1 SPBU, jadi sekalinya dapet bus yang ngisi BBM, CROWDED BANGET ama kendaraan yang lain. Jadi KELAMAAN!!!",kalo aplikasi lumayan bagus sih cuma yang bikin resah itu isi bbm cuma di spbu jadi sekali dapet bus yang ngisi bbm crowded banget ama kendara yang lain jadi lama
Jm operasional sampai 21.00 tapi jm 19.00 sudah tdk ada bus lagi hadehh,jm operasional sampai tapi jm sudah tdk ada bus lagi hadehh
"bus kecil, kursi cuma 20 kebanyakan berdiri, driver ugal ugalan jadi ga nyaman gas dan rem kasar, antri BBM di Bungurasih lama lemot bikin telat perjalanan, antri naik bus di bungur panjang ga beraturan Kapok deh",bus kecil kursi cuma banyak diri driver ugal ugalan jadi ga nyaman gas dan rem kasar antri bbm di bungurasih lama lot bikin telat jalan antri naik bus di bungur panjang ga atur kapok deh
🙏🙏🙏🙏,
Tolong halte kalitengah arah ke porong di perbaiki agar bisa turun di dalam halte ngga di sampingnya halte,tolong halte kalitengah arah ke porong di baik agar bisa turun di dalam halte ngga di samping halte
sangat membantu,sangat bantu
"Maaf yaa... Udah nunggu 2 jam lebih bis nya dateng2, sekalinya dateng penumpang udah desak desakan... Mohon di perjelas lagi info keberangkatan dan mungkin armadanya bisa ditambah lagi... Terimakasih 🙏",maaf yaa udah nunggu jam lebih bis nya dateng sekali dateng tumpang udah desak desa mohon di jelas lagi info berangkat dan mungkin armada bisa tambah lagi terimakasih
Okay,okay
"Bus kurang besar, selalu berdesak2an....",bus kurang besar selalu desa
Apakah hari raya ttp beroperasi??,apakah hari raya ttp operasi
Bu tambakan halte di surabaya juga,bu tambakan halte di surabaya juga
Fitur cash back nya sangat membantu,fitur cash back nya sangat bantu
Armada sedikit.. Bus kecil,armada sedikit bus kecil
Aplikasi top,aplikasi top
Jatim semakin maju dan berteknologi canggih transportasinya,jatim makin maju dan teknologi canggih transportasi
"Aplikasi sudah cukup bagus dan membantu, saran utk skrng adalah penambahan armada dan halte krn pengguna sangat amat banyak, kasian halte2 kecil yg sudah tdk mendapatkan jatah naik, dan utk aplikasinya mohon ditambahakan fitur detail orang yg sedang menunggu di tiap2 halte, jadi spt ada aplikasi cek in - cek out di tiap halte, terimakasih 🙏🏻",aplikasi sudah cukup bagus dan bantu saran utk skrng adalah tambah armada dan halte krn guna sangat amat banyak kasi halte kecil yg sudah tdk dapat jatah naik dan utk aplikasi mohon ditambahakan fitur detail orang yg sedang tunggu di tiap halte jadi spt ada aplikasi cek in cek out di tiap halte terimakasih
Trimakasih kak Vira Choirun Nisa kamu slalu yang terbaik,trimakasih kak vira choirun nisa kamu slalu yang baik
Kak katanya mulai tgl 1 April bagi pelajar klok tidak punya kartu transjatim biayanya 5.000 yaaa,kak kata mulai tgl april bagi ajar klok tidak punya kartu transjatim biaya yaaa
sangat buruk sudah nunggu lama di halte rsud sidoarjo harus di suruh naik ke halte bligo disuruh jalan di kira gk jauh,sangat buruk sudah nunggu lama di halte rsud sidoarjo harus di suruh naik ke halte bligo suruh jalan di kira gk jauh
"Userfriendly, cepat, dan stabil",userfriendly cepat dan stabil
"Saya ketinggalan Kunci sepeda motor, alhamdulilah petugas nya baik & saya bisa ambil di terminal Porong, sukses untuk semua petugas trans jatim",saya tinggal kunci sepeda motor alhamdulilah tugas nya baik saya bisa ambil di terminal porong sukses untuk semua tugas trans jatim
"jarak terlalu jauh, kadang sudah nunggu lama ternyata sudah penuh, nunggu lama lagi, tolong di percepat jarak antara bus, trima kasih",jarak terlalu jauh kadang sudah nunggu lama nyata sudah penuh nunggu lama lagi tolong di cepat jarak antara bus trima kasih
"Antrian penumpang nunggu bis lama bnget, dua kali naik ac mati di tol. bis terlalu di paksakan, armada nggak ditambah.",antri tumpang nunggu bis lama bnget dua kali naik ac mati di tol bis terlalu di paksa armada nggak tambah
peminat byk....bis nya kecil apalagi pas hr sabtu/libur pasti over kapasitas,minat bykbis nya kecil apalagi pas hr sabtulibur pasti over kapasitas
kalau pelayanan sudah oke..cuma perlu ditambahi di aplikasi trans jatim mengenai detail jam datang-berangkat bus..mohon kiranya ditambahi halte medaeng biar gak sampe turun di terminal..,kalau layan sudah okecuma perlu tambah di aplikasi trans jatim kena detail jam datangberangkat busmohon kira tambah halte medaeng biar gak sampe turun di terminal
mohon tambah rute di surabaya utara,mohon tambah rute di surabaya utara
"Armadanya bisa di tambahin, akan semakin bnyak lebih enak, karna bisa antri 2 jam lebih untuk dapat bis",armada bisa di tambahin akan makin bnyak lebih enak karna bisa antri jam lebih untuk dapat bis
"Saya beri masukan untuk bus trans Jatim semoga lebih maju untuk kedepannya dan bisa bermanfaat untuk masyarakat semua... Untuk bus trans Jatim kan sudah banyak kira"" kapan dibuatkan rute Surabaya-krian-menganti-bunder ya kak? Untuk rute tersebut kan juga rame siswa/i dan orang kerja nya... Dan jika naik angkutan (Len) pun itu sulit untuk mencarinya... Saya harap bus trans Jatim bisa membuat rute terbaru yaitu rute tersebut ya kak...",saya beri masuk untuk bus trans jatim moga lebih maju untuk depan dan bisa manfaat untuk masyarakat semua untuk bus trans jatim kan sudah banyak kira kapan buat rute surabayakrianmengantibunder ya kak untuk rute sebut kan juga rame siswa dan orang kerja nya dan jika naik angkut len pun itu sulit untuk cari saya harap bus trans jatim bisa buat rute baru yaitu rute sebut ya kak
Mantul,mantul
💯💯💯💯,
Semakin mudah menggunakan transportasi umum 👍,makin mudah guna transportasi umum
"Tambah mantab aplikasi nya, bisa lihat jumlah penumpang di dalam bus",tambah mantab aplikasi nya bisa lihat jumlah tumpang di dalam bus
Bagus,bagus
Sangat membantu 👍,sangat bantu
"Tolong diperbaiki lagi.. info perjalanan gak pas.. di aplikasi infonya di halte A, ditunggu di halte D ternyata sdh di halte F, jadinya ketinggalan bus.",tolong baik lagi info jalan gak pas di aplikasi info di halte a tunggu di halte d nyata sdh di halte f jadi tinggal bus
Sopo sing gawe proyek iki biyen yoo yoo... Proyek gak tambah nglancar no sing nge bis Malah ngruwet ne sing ngebis....,sopo sing gawe proyek iki biyen yoo yoo proyek gak tambah nglancar no sing nge bis malah ngruwet ne sing ngebis
"Bis terlalu kecil,,dan nunggu sangat lama",bis terlalu kecildan nunggu sangat lama
"Tolong dong untuk rute tujuanya di perbanyak lagi , kalau bisa di seluruh kecamatan di Sidoarjo , dan untuk jumlah armada BUS di perbanyak lagi Yakin deh kalau transportasi umum sudah bagus bakalan banyak yg minat naik transportasi ini Semoga di dengarkan yaa",tolong dong untuk rute tujuanya di banyak lagi kalau bisa di seluruh camat di sidoarjo dan untuk jumlah armada bus di banyak lagi yakin deh kalau transportasi umum sudah bagus bakal banyak yg minat naik transportasi ini moga di dengar yaa
perbanyak bis/bikin panjang,banyak bisbikin panjang
ok bagus,ok bagus
Recommended,recommended
"Harusnya ini yang benar, membantu masyarakat dengan mudah.",harus ini yang benar bantu masyarakat dengan mudah
"Tolong ditambah lagi armadanya kalau pagi sampai jam 8 banyakin arah Gresik, terbukti lebih banyak yg ke Gresik daripada Sidoarjo sedangkan jumlah armada tidak bertambah, sering overload, banyak wanita berdiri, tolong pramugara/i menegur pria muda yg duduk di kursi, driver tolong jalan agak cepat kasihan orang2 yg berdiri",tolong tambah lagi armada kalau pagi sampai jam banyakin arah gresik bukti lebih banyak yg ke gresik daripada sidoarjo sedang jumlah armada tidak tambah sering overload banyak wanita diri tolong pramugara tegur pria muda yg duduk di kursi driver tolong jalan agak cepat kasihan orang yg diri
"Sangat membantu, bis nya bersih ada pramugari nya juga",sangat bantu bis nya bersih ada pramugari nya juga
"Jumlah halte di perbanyak, seperti di ramayana sidoarjo yang sisi utara",jumlah halte di banyak seperti di ramayana sidoarjo yang sisi utara
Tolong bus nya jangan kebanyakan berhenti di terminal. Masih banyak bus tapi tidak beroperasi. Jumlah penumpang sudah melebihi kapasitas bus tp bus tetap banyak yang berhenti.,tolong bus nya jangan banyak henti di terminal masih banyak bus tapi tidak operasi jumlah tumpang sudah lebih kapasitas bus tp bus tetap banyak yang henti
"Lama banget menunggu dari 9:30 hampir 3 jam... Baru 3 bis lewat dan itu penuh, supir kurang ramah... Teriak teriak... Kerja sampai telat... Masih bagus pelayanan bus Surabaya....",lama banget tunggu dari hampir jam baru bis lewat dan itu penuh supir kurang ramah teriak teriak kerja sampai telat masih bagus layan bus surabaya
Waktu tunggu 30-45 menit,waktu tunggu menit
"Sangat sangat buruk, pengalaman naik bis ini. Komplain ratusan kali ya tetap sama saja. Sistem gak ada perbaikan sama Skali, gak bisa dibilang transportasi alternatif klo sprti saat ini. Kacau",sangat sangat buruk alam naik bis ini komplain ratus kali ya tetap sama saja sistem gak ada baik sama skali gak bisa bilang transportasi alternatif klo sprti saat ini kacau
"Bis kecil jam operasional terlalu lama,alhasil nunggu berjam jam itu pun harus berdiri.",bis kecil jam operasional terlalu lamaalhasil nunggu jam jam itu pun harus diri
Kalo bisa armada di tambah,kalo bisa armada di tambah
"Mohon diperbanyak armadanya. Masak dari terminal bunder aja, bus udah penuh.",mohon banyak armada masak dari terminal bunder aja bus udah penuh
"Bis terlalu kecil, tlong tmbh armada dan ganti unit yang besar, krna rutenya termasuk rute padat",bis terlalu kecil tlong tmbh armada dan ganti unit yang besar krna rute masuk rute padat
Naru instal Belum di coba,naru instal belum di coba
"Tolong dilakukan fixing bugs kembali. Masih sering terjadi gps bus yg tiba2 hilang, dan posisi bus yg berhenti cukup lama. Masukan, mohon dipertimbangkan penambahan armada ke arah bunder karena waktu menunggu bisa mencapai satu jam saat pagi",tolong laku fixing bugs kembali masih sering jadi gps bus yg tiba hilang dan posisi bus yg henti cukup lama masuk mohon timbang tambah armada ke arah bunder karena waktu tunggu bisa capai satu jam saat pagi
Manfaat bagi warga sidoarjo surabaya gresik dst,manfaat bagi warga sidoarjo surabaya gresik dst
"Pelayanan makin buruk, sudah tidak bisa diandalkan 👎",layan makin buruk sudah tidak bisa andal
Sudah 1 jam nunggu di halte. Liat di aplikasi bus yg beoperasi cuma 3 bus aja. Itupun total bus jalur PP porong-gresik hanya 3 bus yg jalan. Tolong diperbaiki saran saya,sudah jam nunggu di halte liat di aplikasi bus yg beoperasi cuma bus aja itu total bus jalur pp poronggresik hanya bus yg jalan tolong baik saran saya
Bisnya kurang banyak.. sehingga calon penumpang ke tolak terus... kasihan nunggu gak cuma 1 jam lebih 3 jam belum bisa naik. Untuk aplikasinya baik...,bis kurang banyak sehingga calon tumpang ke tolak terus kasihan nunggu gak cuma jam lebih jam belum bisa naik untuk aplikasi baik
"Kedatangan bis semakin jarang, tidak sesering dulu. Penumpang sampai berdesak desakan, baik itu di halte maupun di dalam bis. Mengecewakan.",datang bis makin jarang tidak sering dulu tumpang sampai desak desa baik itu di halte maupun di dalam bis kecewa
"Metode pembayaran via aplikasi harus ditingkatkan masa sekarang jaman modern pembayaran pakai astrapay aplikasi gak terkenal dan jarang orang pakai. Mending pake metode pembayaran yang umum aja misalkan ovo, dana, gopay, shopepay atau m-bangking.",metode bayar via aplikasi harus tingkat masa sekarang jaman modern bayar pakai astrapay aplikasi gak kenal dan jarang orang pakai mending pake metode bayar yang umum aja misal ovo dana gopay shopepay atau mbangking
"Selalu dihandalkan sejak kerja overtime(kerja lembur) meskipun nunggu lumayan lama di halte, tetapi sejak perubahan jadwal pemberangkatan terakhir jam 19.00 bnyak penumpang yang kena PRANK(TIPU). Informasiny juga tidak ditempel di setiap HALTE.!!!! BUS yang di janjikan 20bus ternyata yg oprasional juga tidak lebih dr 13!!! Kemana armada yg laenny??!!!! BOIKOT RUTE BARU TAHUN DEPAN(PORONG-BUNGURASIH)karena pelayanan semakin JELEK tidak semakin bagus&meningkat.",selalu dihandalkan sejak kerja overtimekerja lembur meski nunggu lumayan lama di halte tetapi sejak ubah jadwal berangkat akhir jam bnyak tumpang yang kena pranktipu informasiny juga tidak tempel di tiap halte bus yang di janji bus nyata yg oprasional juga tidak lebih dr mana armada yg laenny boikot rute baru tahun depanporongbungurasihkarena layan makin jelek tidak makin bagusmeningkat
"Uuudbkblbw+dengan zzz blom tau bhubuhbb di volct v, T yang tidak dapat lari 7P di atas kasur, itu berarti aku gak 7, udah bisa udh, v zzz iku vuvuvvvuuiuuv, T 7,udah : 2P di bidang kesehatan ya 7P di atas, :UU uv l u uv L uv yang di zzz b ba j.auj jlf",uuudbkblbwdengan zzz blom tau bhubuhbb di volct v t yang tidak dapat lari p di atas kasur itu arti aku gak udah bisa udh v zzz iku vuvuvvvuuiuuv t udah p di bidang sehat ya p di atas uu uv l u uv l uv yang di zzz b ba jauj jlf
Akhir keberangkatan bisa ditambah sampai pukul 20.00,akhir berangkat bisa tambah sampai pukul
Jarak bis terlalu jauh ... Dan kapasitas pebumpang sekarang makin banyak... Banyak yang ngantri lama nunggu bus datang,jarak bis terlalu jauh dan kapasitas pebumpang sekarang makin banyak banyak yang ngantri lama nunggu bus datang
"Aplikasi, provider dan penyelenggara gak layak. Di apps trakhir dari bungurasih 21.00 reality 20.00 sdh gak ada armada. Dari T. Bunder biasanya 20.00 teraakhir, sekaramg di rantai pintu masuknya. Informasinya trakhir jam 19.00.",aplikasi provider dan selenggara gak layak di apps trakhir dari bungurasih reality sdh gak ada armada dari t bunder biasa teraakhir sekaramg di rantai pintu masuk informasi trakhir jam
"Nunggu bis dari setengah 8 sampek jam 9 lebih belum ada yg berangkat, padahal masih ada 1 bis lagi yg tujuan ke sidoarjo, tolong di perbaiki",nunggu bis dari tengah sampek jam lebih belum ada yg berangkat padahal masih ada bis lagi yg tuju ke sidoarjo tolong di baik
"Menaikan penumpang di halte bungurasih kurang tertib, karena selalu berdesakan diatas halte, kjadian tgl 21 nov 22 pkul 18.00 bus plat nomor L 7011 UJ menaikan pnumpang dri pintu depan, pdhal penumpang yg sudah menunggu diatas halte sudah berdesakan tapi malah menaikan penumpang yg ada diurutan belakang. Tolong diperbaiki lagi pelayanannya",naik tumpang di halte bungurasih kurang tertib karena selalu desa atas halte kjadian tgl nov pkul bus plat nomor l uj naik pnumpang dri pintu depan pdhal tumpang yg sudah tunggu atas halte sudah desa tapi malah naik tumpang yg ada urut belakang tolong baik lagi layan
Tolong armadanya di tambah dan rutenya juga di tambah lagi,tolong armada di tambah dan rute juga di tambah lagi
"Awalnya bagus tapi sekarang Pelayanannya buruk, rate perjalanan dikurangi , waktu tunggu menjadi lama. Padahal peminatnya semakin banyak. Kecewa banget akhirnya uninstal aja lah balik lagi motoran.",awal bagus tapi sekarang layan buruk rate jalan rang waktu tunggu jadi lama padahal minat makin banyak kecewa banget akhir uninstal aja lah balik lagi motor
Bis bayar 5000 tapi jumlah penumpang sampai full yang berdiri ada yang tidak dapat pegangan.keselamatan tidak diutamakan 👎👎👎👎👎,bis bayar tapi jumlah tumpang sampai full yang diri ada yang tidak dapat pegangankeselamatan tidak utama
"Saran saya untuk penumpang perempuan, selain prioritas yg ditentukan itu tolong diperhatikan, masak laki2 pada kuat berdiri tapi yang rata2 berdiri perempuan hmmm, dan penumpang di terminal porong/bunder itu dibatasi, udah nunggu lama di halte kecil2 malah ditolak lagi bis lanjutannnya juga ditolak lagi, gimana sih sistemnya, sama kursi biru kalo emg prioritas ya ditekuk biar yg gak diduduk i sembarang orang, makasih",saran saya untuk tumpang perempuan selain prioritas yg tentu itu tolong perhati masak laki pada kuat diri tapi yang rata diri perempuan hmmm dan tumpang di terminal porongbunder itu batas udah nunggu lama di halte kecil malah tolak lagi bis lanjutannnya juga tolak lagi gimana sih sistem sama kursi biru kalo emg prioritas ya tekuk biar yg gak duduk i sembarang orang makasih
Bagus dan nyaman serta murah,bagus dan nyaman serta murah
Untuk armada ke gresik yang pagi tolong ditambah. Karena sering rebutan naik,untuk armada ke gresik yang pagi tolong tambah karena sering rebut naik
Pengalaman terbaik. Halte tanggulangin - Halte Bungurasih,alam baik halte tanggulangin halte bungurasih
"Pelayanan bis oke, cepat, tarif terjangkau. TAPI.... Armada bis sangat2 kurang. Jumlah 22 bis yg beroperasi selalu penuh ketika naik dari Halte2 non-Terminal. MOHON BATASI PENUMPANG YG MAU NAIK BIS DARI TERMINAL PORONG/PURABAYA/BUNDER!!! YG NAIK DARI HALTE KECIL SELALU DITOLAK!!! CAPEK NUNGGUNYA!!! Saya mau kok berdiri lama dari Gresik ke Sidoarjo. Mohon Dishub dan Pemprov Jatim bisa sadar, mobilitas warga sdh semakin padat. Masyarakat sdh mau naik transportasi umum. Sediakan armada yg banyak!!!",layan bis oke cepat tarif jangkau tapi armada bis sangat kurang jumlah bis yg operasi selalu penuh ketika naik dari halte nonterminal mohon batas tumpang yg mau naik bis dari terminal porongpurabayabunder yg naik dari halte kecil selalu tolak capek nunggunya saya mau kok diri lama dari gresik ke sidoarjo mohon dishub dan pemprov jatim bisa sadar mobilitas warga sdh makin padat masyarakat sdh mau naik transportasi umum sedia armada yg banyak
bagus,bagus
Apik iki,apik iki
Kalau dikasih info ada berapa penumpang di dalam bis malah lebih mantap lagi,kalau kasih info ada berapa tumpang di dalam bis malah lebih mantap lagi
"Aplikasi bagus utk monitor bus yg akan datang menuju ke halte. Bus jatimnya juga nyaman, ac dingin. Moga makin bagus pelayanannya. Gapapa agak ngebut dikit",aplikasi bagus utk monitor bus yg akan datang tuju ke halte bus jatimnya juga nyaman ac dingin moga makin bagus layan gapapa agak ngebut dikit
Good,good
Semoga kedepan.nya armada nya tambah banyak dan jam operasional nya 24 jam.. Sukses buat TRANSJATIM🙏🙏🙏,moga depan armada nya tambah banyak dan jam operasional nya jam sukses buat transjatim
mantap kalo bisa 24 jam sih karena mayoritas juga ada karyawan yang pulang malem dan bisa ditambah buat armada busnya biar tidak desak desakan karena animo masyarakat sangat banyak apalagi jam pulang kerja selebihnya sangat membantu 👆👆👆👊👊👊,mantap kalo bisa jam sih karena mayoritas juga ada karyawan yang pulang malem dan bisa tambah buat armada bus biar tidak desak desa karena animo masyarakat sangat banyak apalagi jam pulang kerja lebih sangat bantu
TransJatim memang Sangat membantu sekali utk trayek Sidoarjo Gresik.. Tqu TransJatim..,transjatim memang sangat bantu sekali utk trayek sidoarjo gresik tqu transjatim
Bagus dan berguna banget sih,bagus dan guna banget sih
"Sayang sekali kenapa dialun alun sidoarjo tdk ada haltenya, ato minimal penumpang bisa turun Krn kita yg pingin menikmati suasana dialun alun ato pingin kemasjid harus turun jauh dihalte sun city. Semoga nex dipikirkan oleh pihak yg berwenang .",sayang sekali kenapa alun alun sidoarjo tdk ada halte ato minimal tumpang bisa turun krn kita yg pingin nikmat suasana alun alun ato pingin masjid harus turun jauh halte sun city moga nex pikir oleh pihak yg wenang
Bagus.. akan jadi bintang 5 kalau ada fitur data jumlah penumpang yang sedang berada di dalam bus.. jadi penumpang bisa mengestimasi waktuny sendiri dengan memperkirakan bus yang sampai halte sudah penuh atau tidak.. baru bintang 5..,bagus akan jadi bintang kalau ada fitur data jumlah tumpang yang sedang ada di dalam bus jadi tumpang bisa estimasi waktuny sendiri dengan kira bus yang sampai halte sudah penuh atau tidak baru bintang
Mohon ditambahkan pilihan topup. Selain itu semua oke,mohon tambah pilih topup selain itu semua oke
"Ini sudah bagus, tapi halte sudah mulai banyak yg bocor ketika hujan. Jam 8 pernah saya nunggu sampai jm 9 lebih bis nya baru jalan dari terminal bunder. Padahal di seberang sudah ada 3-4 bis yang berhenti di halte unmuh I. Perawatan juga harus diperhatikan",ini sudah bagus tapi halte sudah mulai banyak yg bocor ketika hujan jam pernah saya nunggu sampai jm lebih bis nya baru jalan dari terminal bunder padahal di seberang sudah ada bis yang henti di halte unmuh i awat juga harus perhati
"nyaman, adem dan bersih",nyaman adem dan bersih
"Belum coba naik, optimis bisa membantu masyarakat umum, ditengah ekonomi yang sulit, banyak manfaatnya, terima kasih",belum coba naik optimis bisa bantu masyarakat umum tengah ekonomi yang sulit banyak manfaat terima kasih
tidak ada bangku prioritas untuk penumpang membawa balita,tidak ada bangku prioritas untuk tumpang bawa balita
"Bis nya oke , nyaman, semoga ditambahin lagi unit bis nya, karena tiap naik sering banget penuh",bis nya oke nyaman moga ditambahin lagi unit bis nya karena tiap naik sering banget penuh
"Tolong untuk pelacakan bus jangan menggunakan plat nomer,mending balikin ke awal saja menggunakan kode bus,contohnya L10 ato yg lainnya,karena akan lebih mudah buat penumpang atopun keluarga yg memonitor keluarganya di dalam perjalanan bus,terima kasih",tolong untuk lacak bus jangan guna plat nomermending balikin ke awal saja guna kode buscontohnya l ato yg lainnyakarena akan lebih mudah buat tumpang ato keluarga yg monitor keluarga di dalam jalan busterima kasih
Baik,baik
"Tadi baru saja nyoba.. kebetulan mau pulang ke lamongan. naik di halte suncity turun di terminal bunder. Mungkin pas tgl merah, posisi bus full penumpang. Kedepan semoga armada bis nya bisa ditambah lagi. Biar ndak usel2an bergelantungan. Apalagi tadi dari suncity ke bunder berdiri terus. Tiap halte ada yg naik padahal bus sudah penuh.. semoga juga nanti nambah halte dan rutenya..",tadi baru saja nyoba betul mau pulang ke lamongan naik di halte suncity turun di terminal bunder mungkin pas tgl merah posisi bus full tumpang depan moga armada bis nya bisa tambah lagi biar ndak uselan gantung apalagi tadi dari suncity ke bunder diri terus tiap halte ada yg naik padahal bus sudah penuh moga juga nanti nambah halte dan rute
Sangat membantu masarakat kalau bepergian atau bertaktifitas,sangat bantu masarakat kalau pergi atau bertaktifitas
"Tlg armadanya di tambah penumpang sangat antusias Juga haltenya di tambah lagi,dan juga gitu halte nya yg dekat lokasi keramean",tlg armada di tambah tumpang sangat antusias juga halte di tambah lagidan juga gitu halte nya yg dekat lokasi keramean
"Mantap, Murah meriah dan mendukung.",mantap murah riah dan dukung
Kl bisa di tambahkan haltenya di alun alun kota Sidoarjo,kl bisa di tambah halte di alun alun kota sidoarjo
LG V50S THINQ,lg vs thinq
